State,Poll Type,Pollster,Start Date,End Date,Clinton,Trump,Clinton Adjusted,Trump Adjusted,Electoral Votes
Nevada,now-cast,Rasmussen Reports/Pulse Opinion Research,10/26/2016,10/30/2016,43.0,41.0,43.58001,42.23849000000001,17
New Hampshire,now-cast,SurveyMonkey,10/18/2016,10/26/2016,49.0,35.0,47.58813,37.05165,10
Florida,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,34.54,42.36,41.23265,50.99165,67
Minnesota,now-cast,Ipsos,10/21/2016,11/2/2016,42.01,37.21,40.41755,36.60747,87
Connecticut,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,44.46,26.58,51.29098,35.50233,8
Pennsylvania,now-cast,SurveyMonkey,10/28/2016,11/3/2016,46.0,43.0,44.65787,42.77385,67
California,now-cast,SurveyMonkey,10/27/2016,11/2/2016,56.0,29.0,54.67403,29.0061,58
Michigan,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,35.18,34.05,40.51764,39.5682,83
West Virginia,now-cast,Ipsos,8/5/2016,8/25/2016,39.49,46.86,39.26945,48.63732,55
Nebraska,now-cast,Ipsos,10/7/2016,10/27/2016,35.45,49.98,33.66863,50.85735,93
New Hampshire,now-cast,Rasmussen Reports/Pulse Opinion Research,10/27/2016,10/31/2016,44.0,40.0,44.6424,41.20353,10
Wyoming,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,21.98,40.77,29.57711,50.88921,23
Ohio,now-cast,Selzer & Company,9/9/2016,9/12/2016,39.0,44.0,41.64295,46.87627,88
Pennsylvania,now-cast,The Times-Picayune/Lucid,10/7/2016,10/10/2016,47.0,38.0,47.79448,43.4574,67
Maryland,now-cast,Goucher College,9/17/2016,9/20/2016,58.0,25.0,59.6805,28.35968,24
Ohio,now-cast,YouGov,10/5/2016,10/7/2016,46.0,42.0,47.52487,45.23904,88
Nevada,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,43.81,30.43,49.81346,39.22202,17
Kentucky,now-cast,SurveyMonkey,11/1/2016,11/7/2016,35.0,54.0,33.54599,53.36208000000001,120
Oregon,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,48.54,23.82,54.60239,32.84959,36
Tennessee,now-cast,icitizen,10/14/2016,10/17/2016,34.0,44.0,35.82181,49.43195,95
Arizona,now-cast,SurveyMonkey,10/26/2016,11/1/2016,42.0,43.0,40.66893,43.24237,15
Texas,now-cast,SurveyUSA,2/21/2016,2/22/2016,44.0,47.0,40.80981,46.57656,254
California,now-cast,Ipsos,9/23/2016,9/29/2016,63.67,23.74,63.5364,24.6432,58
Oklahoma,now-cast,SurveyMonkey,10/29/2016,11/4/2016,31.0,57.0,29.6523,56.63121,77
Ohio,now-cast,SurveyMonkey,10/24/2016,10/30/2016,41.0,44.0,39.64763,44.63961,88
South Dakota,now-cast,Nielson Brothers Polling,10/24/2016,10/26/2016,35.0,49.0,34.96202,50.4999,66
Alabama,now-cast,Ipsos,8/19/2016,9/8/2016,42.33,50.6,42.22292,51.48626,67
Nevada,now-cast,Ipsos,7/29/2016,8/18/2016,39.99,38.33,39.4269,39.82277,17
Nebraska,now-cast,SurveyMonkey,10/29/2016,11/4/2016,34.0,52.0,32.6713,51.65617,93
Idaho,now-cast,Rasmussen Reports/Pulse Opinion Research,10/23/2016,10/24/2016,29.0,48.0,29.50792,50.18386,44
Delaware,now-cast,SurveyMonkey,10/17/2016,10/25/2016,52.0,34.0,50.5582,35.72956,3
Idaho,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,21.81,44.25,27.25948,50.88269,44
Arizona,now-cast,Ipsos,9/2/2016,9/15/2016,39.48,46.11,39.24437,46.63611,15
New Mexico,now-cast,SurveyMonkey,10/17/2016,10/25/2016,41.0,34.0,39.56686,35.85125,33
Minnesota,now-cast,"Mason-Dixon Polling & Research, Inc.",9/12/2016,9/14/2016,44.0,38.0,46.58427,42.99698,87
Oklahoma,now-cast,Ipsos,8/5/2016,8/25/2016,31.99,54.42,30.62132,54.8978,77
Nebraska,now-cast,Ipsos,8/12/2016,9/1/2016,37.84,44.65,37.42548,45.82267,93
Nevada,now-cast,Bendixen & Amandi International,10/20/2016,10/23/2016,48.0,41.0,47.16244,43.16212,17
Alaska,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,29.97,27.17,36.03799,36.22216,29
Florida,now-cast,Rasmussen Reports/Pulse Opinion Research,11/1/2016,11/3/2016,45.0,46.0,45.57731,46.32343,67
Nevada,now-cast,YouGov,10/4/2016,11/6/2016,42.5,40.9,43.28503,43.28225,17
Idaho,now-cast,SurveyMonkey,10/17/2016,10/25/2016,29.0,50.0,27.56785,51.8651,44
Nevada,now-cast,Monmouth University,10/14/2016,10/17/2016,47.0,40.0,45.97942000000001,42.46658,17
Alaska,now-cast,Moore Information,8/27/2016,8/29/2016,29.0,39.0,32.922740000000005,43.91821,29
Illinois,now-cast,SurveyMonkey,10/20/2016,10/28/2016,51.0,34.0,49.56984,35.26638,102
New Mexico,now-cast,Ipsos,8/19/2016,9/8/2016,38.01,47.6,34.94692,45.7563,33
Ohio,now-cast,University of Akron,9/21/2016,10/13/2016,41.0,38.0,42.66098,42.20634,88
Pennsylvania,now-cast,Rasmussen Reports/Pulse Opinion Research,11/2/2016,11/6/2016,44.0,46.0,44.47071,46.16703,67
Iowa,now-cast,Emerson College,11/1/2016,11/3/2016,41.0,44.0,41.20044,42.09328,99
North Carolina,now-cast,SurveyMonkey,10/29/2016,11/4/2016,48.0,41.0,46.64384,40.6201,100
California,now-cast,SurveyMonkey,10/24/2016,10/30/2016,55.0,30.0,53.651680000000006,30.660490000000006,58
Massachusetts,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,50.03,23.57,58.08984,32.773740000000004,14
California,now-cast,SurveyMonkey,10/30/2016,11/6/2016,56.0,30.0,54.61541,29.4176,58
Arkansas,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,34.69,40.24,40.66887,48.93294,75
Pennsylvania,now-cast,SurveyMonkey,10/29/2016,11/4/2016,46.0,43.0,44.65289,42.63198,67
Montana,now-cast,Ipsos,9/23/2016,10/13/2016,33.91,54.15,31.36603,53.69252,56
Arizona,now-cast,CNN/Opinion Research Corp.,10/27/2016,11/1/2016,44.0,49.0,43.22177,47.26456,15
Louisiana,now-cast,SurveyMonkey,10/20/2016,10/28/2016,37.0,54.0,35.55144,55.06992,64
New York,now-cast,YouGov,10/4/2016,11/6/2016,52.7,31.4,53.48676,33.80659,62
Nevada,now-cast,Ipsos,8/26/2016,9/15/2016,37.63,41.48,37.30289000000001,42.03705,17
Alabama,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,29.18,48.39,36.18659,56.46381,67
Georgia,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,30.22,41.25,35.79574,49.65076,159
South Carolina,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,33.23,40.95,40.53526,49.16886,46
Montana,now-cast,SurveyMonkey,10/30/2016,11/6/2016,31.0,53.0,29.62821,52.42529,56
New Mexico,now-cast,Ipsos,9/23/2016,10/13/2016,43.87,36.38,39.84485,34.37442,33
Florida,now-cast,Cherry Communications,8/17/2016,8/22/2016,41.0,44.0,44.01971,48.08858,67
New Jersey,now-cast,Stockton College,9/22/2016,9/29/2016,46.2,39.8,46.57059,40.53354,21
Florida,now-cast,Public Policy Polling,10/12/2016,10/13/2016,46.0,42.0,45.70338,44.55612,67
Texas,now-cast,Dixie Strategies,10/27/2016,10/29/2016,39.39,51.53,40.0686,51.50863,254
Wisconsin,now-cast,Public Policy Polling,10/31/2016,11/1/2016,48.0,41.0,46.75041,39.81551,72
Louisiana,now-cast,Ipsos,8/19/2016,9/8/2016,33.24,59.91,33.50489,61.19855,64
West Virginia,now-cast,SurveyMonkey,10/26/2016,11/1/2016,29.0,55.0,27.67068,55.24826,55
New Hampshire,now-cast,YouGov,8/10/2016,8/12/2016,45.0,36.0,48.34605,41.21533,10
Mississippi,now-cast,Ipsos,9/16/2016,10/6/2016,39.96,51.09,40.17595,52.14103,82
Ohio,now-cast,TargetSmart/William & Mary,10/3/2016,10/6/2016,43.2,40.3,44.10521,44.86292,88
Nevada,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,36.38,33.18,41.72248,40.95402,17
Pennsylvania,now-cast,Monmouth University,8/26/2016,8/29/2016,48.0,40.0,49.16496,43.14311,67
New Hampshire,now-cast,University of New Hampshire,10/28/2016,10/31/2016,46.0,39.0,46.00852,40.95235,10
New York,now-cast,Siena College,1/31/2016,2/3/2016,57.0,32.0,57.3204,36.07187,62
Pennsylvania,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,40.37,30.59,47.76137,40.3119,67
Delaware,now-cast,SurveyMonkey,10/26/2016,11/1/2016,50.0,38.0,48.65951,38.21053,3
Washington,now-cast,Insights West,9/12/2016,9/14/2016,38.0,28.0,41.07792,31.92928,39
Michigan,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,37.28,29.9,44.58727,38.40633,83
Arizona,now-cast,Data Orbital,9/20/2016,9/22/2016,38.0,40.0,40.87095,42.75748,15
Wisconsin,now-cast,St. Norbert College,4/12/2016,4/15/2016,46.0,34.0,45.71065,37.86222,72
Virginia,now-cast,The Times-Picayune/Lucid,10/17/2016,10/18/2016,43.0,38.0,43.36613,43.0317,134
Georgia,now-cast,Public Policy Polling,5/27/2016,5/30/2016,38.0,45.0,40.33162,48.97774,159
Colorado,now-cast,Gravis Marketing,9/22/2016,9/23/2016,37.0,41.0,39.18074,43.5406,64
Illinois,now-cast,Emerson College,9/19/2016,9/21/2016,44.5,38.7,46.73525,39.53566,102
Maine,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,33.3,35.15,41.22088,44.17237,16
Mississippi,now-cast,Ipsos,9/23/2016,10/13/2016,41.16,48.59,40.92347,49.96358,82
Texas,now-cast,SurveyUSA,10/10/2016,10/12/2016,43.0,47.0,42.20728,48.8199,254
Hawaii,now-cast,SurveyMonkey,10/25/2016,10/31/2016,51.0,32.0,49.684,32.56804,5
Georgia,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,31.01,39.72,38.42565,48.1619,159
Hawaii,now-cast,SurveyMonkey,10/24/2016,10/30/2016,52.0,31.0,50.67988,31.80593,5
Pennsylvania,now-cast,Quinnipiac University,6/8/2016,6/19/2016,39.0,36.0,43.30026,41.10647,67
New York,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,39.83,33.29,45.16801,38.80839,62
New Jersey,now-cast,SurveyMonkey,10/24/2016,10/30/2016,55.0,34.0,53.65575,34.68152,21
New Mexico,now-cast,Zia Poll,9/24/2016,9/25/2016,41.8,36.6,42.95235,37.70919,33
Michigan,now-cast,"Glengariff Group, Inc.",7/30/2016,8/1/2016,41.0,31.6,44.71145,37.31316,83
Tennessee,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,34.21,44.33,39.54131,49.84494,95
New Hampshire,now-cast,Ipsos,8/19/2016,9/8/2016,49.02,35.71,48.55715,36.66427,10
Virginia,now-cast,Ipsos,9/16/2016,9/29/2016,48.26,40.35,48.12003,40.84377,134
Pennsylvania,now-cast,Public Policy Polling,9/27/2016,9/28/2016,45.0,39.0,45.96389,41.30405,67
Florida,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,36.85,37.09,42.84417,45.8446,67
Indiana,now-cast,Gravis Marketing,10/22/2016,10/24/2016,38.0,49.0,38.01339,50.43657,92
Maine,now-cast,Ipsos,9/9/2016,9/29/2016,45.01,33.56,44.50705,33.69116,16
Alabama,now-cast,Strategy Research,7/19/2016,7/19/2016,33.0,57.0,34.090740000000004,57.6428,67
West Virginia,now-cast,SurveyMonkey,11/1/2016,11/7/2016,29.0,56.0,27.55467,55.36656,55
Georgia,now-cast,Clout Research/Wenzel Strategies,10/15/2016,10/18/2016,43.1,45.8,43.65792,46.77272,159
Pennsylvania,now-cast,Emerson College,10/25/2016,10/26/2016,48.0,43.0,48.16086,42.36038,67
Tennessee,now-cast,SurveyMonkey,10/25/2016,10/31/2016,38.0,51.0,36.64416,51.39696,95
New Jersey,now-cast,Ipsos,10/28/2016,11/3/2016,49.72,36.13,49.70642,36.1939,21
South Dakota,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,19.54,43.31,24.99125,49.95028,66
Missouri,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,34.37,33.32,42.00116,42.05076,115
Florida,now-cast,Quinnipiac University,8/29/2016,9/7/2016,43.0,43.0,45.86702,45.60682,67
Pennsylvania,now-cast,YouGov,10/26/2016,10/28/2016,48.0,40.0,48.86157,41.2047,67
New Hampshire,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,34.78,20.7,43.0462,30.54949,10
Missouri,now-cast,Ipsos,9/16/2016,9/29/2016,36.06,47.69,35.52089,47.78822,115
New Hampshire,now-cast,American Research Group,10/31/2016,11/2/2016,43.0,48.0,40.6348,44.56794,10
Virginia,now-cast,Christopher Newport University,3/23/2016,4/3/2016,44.0,35.0,43.01989,38.28423,134
Pennsylvania,now-cast,Ipsos,10/31/2016,11/6/2016,48.2,45.19,47.64152,44.38397,67
Oklahoma,now-cast,SurveyMonkey,10/25/2016,10/31/2016,31.0,54.0,29.64009,54.3795,77
Idaho,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,25.88,36.13,33.61648,46.01929000000001,44
Florida,now-cast,Ipsos,10/21/2016,10/27/2016,48.51,44.61,48.00633,45.7533,67
North Carolina,now-cast,Elon University,9/27/2016,9/30/2016,44.5,39.0,46.18559000000001,42.8704,100
New Jersey,now-cast,SurveyMonkey,10/20/2016,10/28/2016,54.0,34.0,52.57755,35.34869000000001,21
Pennsylvania,now-cast,YouGov,11/3/2016,11/5/2016,45.0,43.0,45.76747,42.9798,67
Arizona,now-cast,Ipsos,10/7/2016,10/13/2016,38.92,44.56,37.32702000000001,45.62138,15
Missouri,now-cast,Ipsos,10/21/2016,11/2/2016,41.09,47.19,39.82209,46.82893,115
Virginia,now-cast,SurveyMonkey,10/25/2016,10/31/2016,48.0,38.0,46.64272,38.39079,134
Nevada,now-cast,Trafalgar Group,11/1/2016,11/4/2016,45.01,49.61,44.87482,46.82064,17
Nevada,now-cast,SurveyMonkey,10/30/2016,11/6/2016,44.0,43.0,42.61279,42.41602,17
Massachusetts,now-cast,Ipsos,8/19/2016,9/1/2016,47.92,31.85,48.06295,33.60286,14
Oregon,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,48.72,25.47,54.07469,33.409620000000004,36
Hawaii,now-cast,SurveyMonkey,10/20/2016,10/28/2016,49.0,31.0,47.59474,32.53226,5
Colorado,now-cast,Ipsos,9/30/2016,10/13/2016,46.61,40.89,44.47589,41.26826,64
South Carolina,now-cast,Ipsos,10/21/2016,11/2/2016,44.02,48.32,43.44704,48.5644,46
Florida,now-cast,Suffolk University,9/19/2016,9/21/2016,44.0,45.0,46.34107,48.05474,67
Michigan,now-cast,"Glengariff Group, Inc.",10/10/2016,10/11/2016,42.2,30.6,43.97041,35.37768,83
Wyoming,now-cast,SurveyMonkey,11/1/2016,11/7/2016,21.0,60.0,19.55778,59.36816,23
Colorado,now-cast,Gravis Marketing,7/7/2016,7/8/2016,39.0,38.0,41.68102,41.86479,64
Oregon,now-cast,"Davis, Hibbitts & Midghall, Inc.",5/6/2016,5/9/2016,43.0,32.0,43.92303,34.76116,36
North Carolina,now-cast,Rasmussen Reports/Pulse Opinion Research,10/17/2016,10/24/2016,46.0,43.0,46.47489,45.38165,100
Connecticut,now-cast,Ipsos,8/5/2016,8/25/2016,49.91,37.43,49.64685,39.27449,8
South Carolina,now-cast,Gravis Marketing,11/3/2016,11/6/2016,43.0,48.0,42.925,47.37665,46
California,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,43.75,26.11,51.52657,35.58855,58
West Virginia,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,33.35,44.26,38.79555,50.87583,55
Virginia,now-cast,Remington,11/1/2016,11/2/2016,46.0,44.0,45.23176,41.96497,134
Kansas,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,41.3,29.59,48.95637,38.26713,105
Iowa,now-cast,Ipsos,7/29/2016,8/18/2016,41.22,41.45,40.81673,43.22969000000001,99
Virginia,now-cast,Marist College,7/5/2016,7/11/2016,41.0,34.0,43.71494000000001,40.38335,134
Nevada,now-cast,CNN/Opinion Research Corp.,10/27/2016,11/1/2016,43.0,49.0,42.21596,47.25,17
West Virginia,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,19.42,35.52,27.06001,44.17578,55
Oklahoma,now-cast,Ipsos,10/14/2016,11/3/2016,29.68,60.28,27.449140000000003,59.63325,77
Mississippi,now-cast,SurveyMonkey,10/28/2016,11/3/2016,40.0,49.0,38.62474,48.71399,82
New York,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,42.53,29.4,49.842,37.91313,62
Illinois,now-cast,"Normington, Petts & Associates",7/11/2016,7/14/2016,51.0,32.0,51.18882,34.33903,102
Kentucky,now-cast,SurveyMonkey,8/9/2016,9/1/2016,29.0,52.0,31.13209,57.34808,120
South Dakota,now-cast,SurveyMonkey,10/25/2016,10/31/2016,27.0,53.0,25.66513,53.48701,66
Georgia,now-cast,YouGov,8/10/2016,8/12/2016,41.0,45.0,43.65192,48.8672,159
South Dakota,now-cast,Ipsos,9/30/2016,10/20/2016,32.76,49.64,30.29753,49.90755,66
Rhode Island,now-cast,Emerson College,10/2/2016,10/4/2016,52.0,32.0,53.37716999999999,33.84406,5
Georgia,now-cast,Ipsos,10/28/2016,11/3/2016,41.76,48.13,40.9854,47.3998,159
Mississippi,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,17.14,54.84,24.33362,62.91315,82
Florida,now-cast,CNN/Opinion Research Corp.,3/2/2016,3/6/2016,50.0,43.0,49.00021,44.43202,67
Montana,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,27.78,28.31,33.44003,37.32725,56
Hawaii,now-cast,SurveyMonkey,10/26/2016,11/1/2016,51.0,30.0,49.69624,30.33466,5
Pennsylvania,now-cast,GBA Strategies,8/21/2016,8/28/2016,46.0,40.0,47.99195,43.90927,67
New Hampshire,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,46.18,21.23,53.17309,30.49297,10
Georgia,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,33.26,42.1,38.66379000000001,50.20331,159
North Carolina,now-cast,"National Research, Inc.",6/21/2016,6/23/2016,42.0,40.0,44.96248,44.71223,100
Illinois,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,37.07,30.39,42.41006,38.13129,102
North Dakota,now-cast,SurveyMonkey,10/20/2016,10/28/2016,31.0,54.0,29.592440000000003,55.50776,53
Rhode Island,now-cast,SurveyMonkey,10/17/2016,10/25/2016,49.0,37.0,47.59756,39.28229,5
Georgia,now-cast,Opinion Savvy/InsiderAdvantage,9/14/2016,9/14/2016,42.0,46.3,43.31912,48.57924000000001,159
Montana,now-cast,"Mason-Dixon Polling & Research, Inc.",10/10/2016,10/12/2016,36.0,46.0,35.21595999999999,49.21729000000001,56
Pennsylvania,now-cast,Robert Morris University,2/11/2016,2/16/2016,43.4,44.3,43.08174,46.95802,67
North Dakota,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,17.44,39.19,25.2708,48.09478,53
Tennessee,now-cast,Ipsos,8/5/2016,8/18/2016,35.51,42.91,35.52648,44.86682,95
Ohio,now-cast,Quinnipiac University,10/27/2016,11/1/2016,41.0,46.0,41.5668,45.63366,88
Missouri,now-cast,Ipsos,9/9/2016,9/22/2016,35.23,50.79,34.77575,50.89246,115
Louisiana,now-cast,SurveyMonkey,10/17/2016,10/25/2016,38.0,53.0,36.54087,54.48619,64
Arizona,now-cast,SurveyMonkey,10/29/2016,11/4/2016,44.0,43.0,42.67081,42.65553,15
Tennessee,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,31.36,42.27,36.79028,48.82022,95
Indiana,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,36.14,33.29,43.33973,41.64164,92
Nevada,now-cast,Rasmussen Reports/Pulse Opinion Research,10/25/2016,10/27/2016,43.0,42.0,43.56727,43.67619000000001,17
North Carolina,now-cast,Evolving Strategies,6/10/2016,6/22/2016,44.0,37.0,45.82313,43.42046,100
New Hampshire,now-cast,Praecones Analytica,10/26/2016,10/28/2016,42.9,44.6,44.32709000000001,43.83173,10
Iowa,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,36.2,29.81,43.61291,38.46827,99
Pennsylvania,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,37.4,37.06,44.04289,45.5871,67
North Carolina,now-cast,Elon University,10/23/2016,10/27/2016,42.0,41.2,42.37309000000001,43.79011,100
Wisconsin,now-cast,Marquette University,8/25/2016,8/28/2016,41.0,38.0,43.48563,42.19432000000001,72
Arizona,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,40.02,30.69,45.65841,39.54911,15
Florida,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,34.29,41.33,41.55761,49.77927,67
Florida,now-cast,Marist College,10/25/2016,10/26/2016,45.0,44.0,43.63194,45.77339,67
Wisconsin,now-cast,YouGov,10/5/2016,10/7/2016,43.0,39.0,44.56252,42.37625,72
North Carolina,now-cast,SurveyMonkey,10/26/2016,11/1/2016,49.0,42.0,47.64214000000001,42.15182,100
New York,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,43.02,31.27,49.74488,39.96938,62
Illinois,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,36.05,32.23,41.67269,40.97419,102
California,now-cast,SurveyMonkey,10/28/2016,11/3/2016,56.0,29.0,54.67361,28.802290000000006,58
Florida,now-cast,Florida Atlantic University,1/15/2016,1/18/2016,44.0,47.0,44.90295,48.88012,67
Nevada,now-cast,YouGov,8/2/2016,8/5/2016,43.0,41.0,45.87804000000001,45.3548,17
Colorado,now-cast,Trafalgar Group,10/31/2016,11/3/2016,44.77,44.33,44.69017,41.65818,64
West Virginia,now-cast,SurveyMonkey,8/9/2016,9/1/2016,27.0,52.0,29.26151,57.56929,55
Alabama,now-cast,Ipsos,9/30/2016,10/20/2016,38.4,52.39,37.24518,53.46359,67
Rhode Island,now-cast,Emerson College,9/2/2016,9/5/2016,44.0,41.0,47.07226,43.3008,5
New Mexico,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,42.32,28.46,50.12118,37.41864,33
Michigan,now-cast,SurveyMonkey,10/30/2016,11/6/2016,44.0,42.0,42.61452,41.41706,83
Florida,now-cast,OnMessage Inc.,6/26/2016,6/28/2016,45.0,47.0,46.33385,48.60519,67
Iowa,now-cast,SurveyMonkey,11/1/2016,11/7/2016,38.0,47.0,36.55981,46.36921,99
Georgia,now-cast,SurveyUSA,2/22/2016,2/23/2016,41.0,50.0,37.66152,49.20023,159
Hawaii,now-cast,SurveyMonkey,10/18/2016,10/26/2016,49.0,33.0,47.57672,34.89693,5
Nevada,now-cast,Monmouth University,9/11/2016,9/13/2016,42.0,44.0,43.19947,46.66195,17
Georgia,now-cast,Landmark Communications,9/21/2016,9/22/2016,42.9,46.5,43.84406,48.61463,159
Wyoming,now-cast,SurveyMonkey,10/24/2016,10/30/2016,23.0,62.0,21.6606,62.7065,23
Maine CD-2,now-cast,"Normington, Petts & Associates",10/2/2016,10/3/2016,44.0,40.0,41.38354,40.71056,
Ohio,now-cast,Monmouth University,10/1/2016,10/4/2016,44.0,42.0,43.8934,44.63922,88
Idaho,now-cast,SurveyMonkey,10/28/2016,11/3/2016,30.0,49.0,28.6821,48.81763,44
Nevada,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,30.03,41.46,37.66517,51.17335,17
South Carolina,now-cast,SurveyMonkey,10/20/2016,10/28/2016,43.0,46.0,41.55121,47.06747,46
Illinois,now-cast,Loras College,9/13/2016,9/16/2016,43.0,30.0,45.99377,33.9837,102
Maine,now-cast,Google Consumer Surveys,10/25/2016,10/31/2016,41.52,26.58,46.99691,33.33047,16
Michigan,now-cast,"Glengariff Group, Inc.",9/27/2016,9/28/2016,42.0,35.0,45.00036,39.58046,83
Washington,now-cast,Ipsos,10/21/2016,11/3/2016,46.44,39.43,45.38384,39.17281,39
Montana,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,32.36,33.33,40.28049,43.03199,56
California,now-cast,Ipsos,10/28/2016,11/3/2016,60.4,30.34,59.88401,29.89793,58
New Hampshire,now-cast,Ipsos,7/29/2016,8/18/2016,40.68,39.45,39.94218,41.17568,10
California,now-cast,Insights West,11/4/2016,11/6/2016,58.0,35.0,58.4688,35.4026,58
Pennsylvania,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,36.18,35.21,43.81505,44.46885,67
Florida,now-cast,Ipsos,10/31/2016,11/6/2016,47.66,46.77,47.65693,46.51642,67
Connecticut,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,41.81,26.61,49.48503,36.87968,8
Utah,now-cast,Ipsos,9/9/2016,9/29/2016,34.26,49.55,33.9255,49.77486,29
North Carolina,now-cast,Ipsos,8/12/2016,8/25/2016,48.12,44.26,48.03363,45.73962,100
Nevada,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,33.96,34.44,41.25122,42.92324,17
Nebraska,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,29.03,38.05,36.36784,46.60029,93
West Virginia,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,26.82,45.26,32.26157,53.79461,55
California,now-cast,Public Policy Institute of California,10/14/2016,10/23/2016,54.0,28.0,55.99313000000001,30.1221,58
North Carolina,now-cast,Monmouth University,10/20/2016,10/23/2016,47.0,46.0,45.84912,47.50375,100
Wisconsin,now-cast,SurveyMonkey,10/24/2016,10/30/2016,45.0,41.0,43.65847,41.69551,72
District of Columbia,now-cast,YouGov,10/4/2016,11/6/2016,79.8,6.8,80.62216,9.703661,1
Alabama,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,19.61,54.78,25.17749,63.12038,67
Iowa,now-cast,SurveyMonkey,10/25/2016,10/31/2016,40.0,45.0,38.66773,45.4982,99
Maine,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,33.34,27.83,41.41479,37.15537,16
Iowa,now-cast,YouGov,7/13/2016,7/15/2016,39.0,40.0,42.94505,44.4362,99
Ohio,now-cast,Rasmussen Reports/Pulse Opinion Research,10/18/2016,10/25/2016,41.0,44.0,41.48339,46.4183,88
Washington,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,43.87,24.3,51.79347,33.42256,39
North Carolina,now-cast,TargetPoint,6/14/2016,6/18/2016,39.0,45.0,39.83223,46.89127,100
Utah,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,21.91,32.4,29.27668,40.99178,29
Pennsylvania,now-cast,Harper Polling,11/2/2016,11/3/2016,46.0,46.0,45.62211,45.65585,67
Missouri,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,37.17,32.83,44.83611,42.13708,115
Nevada,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,32.23,33.54,39.8063,42.11262,17
Vermont,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,55.01,14.83,60.37811,22.95169,14
Utah,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,15.11,21.41,20.75545,30.3206,29
Ohio,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,30.73,35.27,38.35578,44.96705,88
Ohio,now-cast,Quinnipiac University,4/27/2016,5/8/2016,39.0,43.0,39.82199,45.37249,88
Oklahoma,now-cast,Ipsos,8/19/2016,9/8/2016,33.33,52.43,32.151709999999994,52.36312,77
Idaho,now-cast,SurveyMonkey,10/30/2016,11/6/2016,29.0,47.0,27.6222,46.42168,44
